filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
Pauls LED Clips 1515 Angled_ABS_6h35m.gcode,job,cancelled,"Mar 28, 2025 10:24 AM",23712,10468,6445.697,OrcaSlicer 2.2.0,--,--,--,--,--
Pauls LED Clips 1515 Angled_ABS_5h50m.gcode,job,completed,"Mar 26, 2025 5:33 PM",21025,23208,17040.104,OrcaSlicer 2.2.0,--,--,--,--,--
cable_cover (1)_ABS_2h22m.gcode,job,completed,"Mar 25, 2025 4:56 PM",8539,8720,14681.276,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_58m4s.gcode,job,completed,"Mar 24, 2025 5:40 PM",3484,2832,5692.841,OrcaSlicer 2.2.0,--,--,--,--,--
Body3_ABS_2h50m.gcode,job,completed,"Mar 24, 2025 5:35 AM",10215,10389,17924.547,OrcaSlicer 2.2.0,--,--,--,--,--
cable_door_for_pcb_ABS_3h41m.gcode,job,completed,"Mar 23, 2025 5:41 PM",13265,12955,22162.933,OrcaSlicer 2.2.0,--,--,--,--,--
cable_door_for_pcb_ABS_3h41m.gcode,job,error,"Mar 23, 2025 5:33 PM",13265,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
1515 WAGO 5-3 Mount_ABS_2h28m.gcode,job,completed,"Mar 23, 2025 2:59 PM",8880,8656,18486.275,OrcaSlicer 2.2.0,--,--,--,--,--
1515 WAGO 5-3 Mount_ABS_2h28m.gcode,job,completed,"Mar 23, 2025 2:05 PM",8880,2873,18483.275,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_bowden_tube_entry_inside_cover_MMU_x1_ABS_1h4m.gcode,job,completed,"Mar 23, 2025 12:40 PM",3811,3682,7141.162,OrcaSlicer 2.2.0,--,--,--,--,--
bowden_tube_entry_rear_cover_ECAS_MMU_x1_ABS_6h51m.gcode,job,completed,"Mar 23, 2025 12:41 AM",24643,23838,42282.41,OrcaSlicer 2.2.0,--,--,--,--,--
main_body_A_x2_ABS_15h42m.gcode,job,completed,"Mar 22, 2025 8:36 AM",56502,54900,99898.854,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_pg7_umbilical_z_chain_2_hole_x1_ABS_1h56m.gcode,job,completed,"Mar 22, 2025 6:21 AM",6986,6848,12120.991,OrcaSlicer 2.2.0,--,--,--,--,--
